@relation sdss-restas.dat-SOM_PACK-weka.filters.unsupervised.attribute.Standardize-unset-class-temporarily

@attribute resta1 numeric
@attribute resta2 numeric
@attribute resta3 numeric
@attribute resta4 numeric
@attribute class {QSO,WDA,WDB}

@data
-0.728937,-2.490157,-1.615329,-1.910684,QSO
0.226505,-0.88769,-0.382829,-1.309145,QSO
0.589331,-1.545021,-1.286662,-0.360735,QSO
-2.589026,-0.347613,-1.007296,-0.94471,QSO
-5.015123,-3.328698,-1.078507,-1.133514,QSO
0.531279,-0.770436,-2.365785,-0.523194,QSO
-0.380624,-1.19326,-1.412651,-1.541857,QSO
0.330515,-1.484618,-0.744362,-0.338781,QSO
-0.211305,-0.777543,-1.675585,-0.764687,QSO
-0.162928,-1.45264,-1.199018,-0.791032,QSO
0.267625,-0.550142,-1.796096,-0.154368,QSO
-0.467702,-1.594765,-1.385262,-1.50234,QSO
0.637708,-1.601872,-0.525251,-1.216939,QSO
-2.337466,-3.91852,-2.37674,-1.985327,QSO
-1.367511,-2.511476,-2.552029,-1.133514,QSO
0.446619,-1.580553,-1.029207,0.337401,QSO
0.688503,-1.62319,-0.837484,-0.308045,QSO
0.374054,-1.19326,-1.609851,-0.760297,QSO
-2.342304,-3.023128,-4.069374,-2.275119,QSO
0.65464,-1.612531,-0.716973,-1.484777,QSO
0.016066,-0.670948,-0.043206,-1.370616,QSO
0.190222,-0.909009,-0.881307,-1.471605,QSO
-0.455608,-2.198799,-2.447952,-3.205967,QSO
0.335353,-1.676488,-1.576985,-0.918365,QSO
-1.47394,-2.262756,-3.307963,-2.709807,QSO
-5.281195,-2.081546,-2.267185,-1.449651,QSO
0.245856,-0.933881,-1.741318,-0.624182,QSO
-0.083107,-2.401328,-1.609851,-0.786641,QSO
-1.043386,-8.963981,-2.809485,-2.701026,QSO
0.313583,-0.734905,-2.464385,-0.461723,QSO
-0.068594,-1.164835,-2.595852,-1.44526,QSO
-0.066175,-0.685161,-1.604374,0.030046,QSO
-10.597807,-3.048,-2.57394,-0.338781,QSO
-0.45077,-1.399342,-0.695062,-0.637354,QSO
-0.298384,-1.07956,-0.525251,-1.66919,QSO
-0.426582,-3.321592,-2.300051,-1.190594,QSO
0.451457,-1.346045,-0.65124,-0.804204,QSO
0.110401,-0.759777,-0.908696,-1.414524,QSO
0.557886,-0.294315,-2.447952,-1.511122,QSO
0.599006,-1.182601,-1.987818,-1.625282,QSO
-1.057899,-1.953633,-1.516729,-3.658218,QSO
-0.276614,-0.383144,-0.054162,-0.997399,QSO
0.04993,-0.983625,-1.056596,-0.817377,QSO
0.103144,-1.143516,-0.914173,-0.988618,QSO
-0.071013,0.092977,-2.52464,-1.607719,QSO
-6.287433,-1.733338,-1.231885,-0.791032,QSO
0.260369,-0.624758,-1.78514,-0.55832,QSO
0.470808,-1.26077,-0.629329,-0.062161,QSO
-0.915188,-2.621623,-1.407173,-1.634064,QSO
0.678828,-1.01205,-0.84844,-0.782251,QSO
0.436944,-1.545021,-0.936084,-0.474895,QSO
-0.220981,-0.70648,-1.505773,-1.493559,QSO
0.620776,-1.029816,-2.393174,-0.676872,QSO
0.407918,-1.687147,-0.930607,-0.848112,QSO
0.306327,-0.976519,-0.30614,-2.231211,QSO
-0.078269,-1.910995,-0.968951,-1.77896,QSO
0.04993,-0.610545,-1.204496,-0.856894,QSO
-0.542686,-0.88769,-0.788184,-0.975445,QSO
0.226505,-1.065347,-1.226407,-1.50234,QSO
-0.061337,-1.250111,-2.020685,-0.716389,QSO
0.55063,-1.552128,-0.612895,-0.496849,QSO
-0.322572,-0.9552,-1.100418,-1.353053,QSO
0.543373,-0.749118,-2.195974,-0.773469,QSO
-1.130465,-2.454626,-2.059029,-4.89203,QSO
0.734461,-0.9552,-2.858785,-0.496849,QSO
0.42485,-0.937434,-0.273273,-2.538567,QSO
-0.525755,-1.875463,0.181382,-1.44526,QSO
0.29907,-1.918101,-1.516729,-0.830549,QSO
0.294232,-1.196813,-0.771751,-0.89202,QSO
-0.162928,-0.869924,-0.284229,-1.598937,QSO
0.279719,-0.88769,-0.585507,-1.309145,QSO
