@relation sdss-restas.dat-SOM_PACK-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute resta1 numeric
@attribute resta2 numeric
@attribute resta3 numeric
@attribute resta4 numeric
@attribute class {QSO,WDA,WDB}

@data
0.906792,0.730133,0.751315,0.386937,QSO
0.888335,0.681479,0.743663,0.415874,QSO
0.838132,0.758028,0.693926,0.319967,QSO
0.902362,0.728511,0.616451,0.396858,QSO
0.88612,0.668505,0.744142,0.380736,QSO
0.878368,0.733377,0.798661,0.250517,QSO
0.849022,0.64807,0.740794,0.293096,QSO
0.858804,0.766786,0.72023,0.379909,QSO
0.813584,0.741486,0.756576,0.368747,QSO
0.872278,0.725268,0.718317,0.31914,QSO
0.850314,0.708401,0.648972,0.393138,QSO
0.89701,0.68083,0.771879,0.413807,QSO
0.83038,0.735323,0.729316,0.333196,QSO
0.896456,0.754136,0.633668,0.387764,QSO
0.768734,0.598443,0.645624,0,QSO
0.911037,0.735323,0.575801,0.413807,QSO
0.887412,0.736945,0.80153,0.221579,QSO
0.814876,0.651314,0.841224,0.324514,QSO
0.877815,0.647421,0.69297,0.382389,QSO
0.877446,0.713266,0.758011,0.376602,QSO
0.842562,0.743107,0.800574,0.310045,QSO
0.876338,0.741486,0.774271,0.337329,QSO
0.868955,0.704184,0.627451,0.365854,QSO
0.882614,0.826143,0.593018,0.416288,QSO
0.874492,0.603957,0.666188,0.42869,QSO
0.289221,0.699319,0.755619,0.364613,QSO
0.901624,0.674019,0.649928,0.465895,QSO
0.870986,0.729484,0.721186,0.285655,QSO
0.523071,0.019137,0.333812,0.11451,QSO
0.887228,0.727862,0.782879,0.389831,QSO
0.863603,0.768407,0.653276,0.373708,QSO
0.875969,0.696724,0.72023,0.400579,QSO
0.824843,0.773597,0.667623,0.43117,QSO
0.507752,0.643205,0.703969,0.362547,QSO
0.893503,0.758677,0.642755,0.390244,QSO
0.883906,0.701914,0.791487,0.427036,QSO
0.883906,0.679533,0.78527,0.444812,QSO
0.908638,0.688939,0.722621,0.184374,QSO
0.793651,0.58709,0.610234,0.275734,QSO
0.791621,0.776516,0.773314,0.24969,QSO
0.827981,0.6458,0.711143,0.419181,QSO
0.892765,0.768407,0.64132,0.351798,QSO
0.826135,0.853065,0.5978,0.467962,QSO
0.874677,0.747648,0.654711,0.349731,QSO
0.864895,0.65553,0.733142,0.392724,QSO
0.875231,0.718132,0.738403,0.434064,QSO
0.862126,0.602335,0.682449,0.402232,QSO
0.854559,0.764515,0.789574,0.348078,QSO
0.899594,0.748297,0.612626,0.422489,QSO
0.91196,0.726889,0.682449,0.532451,QSO
0.893688,0.75673,0.63319,0.354692,QSO
0.863418,0.788518,0.661406,0.368334,QSO
0.853636,0.685696,0.754185,0.381563,QSO
0.564415,0.157314,0,0.36544,QSO
0.859542,0.75446,0.659015,0.371641,QSO
0.919528,0.787869,0.560497,0.481604,QSO
0.849022,0.71132,0.715447,0.40802,QSO
0.879476,0.742459,0.671927,0.315833,QSO
0.781469,0.651314,0.541846,0.353452,QSO
0.830565,0.724619,0.714491,0.312939,QSO
0.905131,0.772624,0.61406,0.334849,QSO
0.888704,0.687966,0.700622,0.425382,QSO
0.821521,0.724619,0.687231,0.38735,QSO
0.832595,0.769056,0.691057,0.348078,QSO
0.89055,0.68375,0.748446,0.463415,QSO
0.898856,0.712293,0.743663,0.427863,QSO
0.843485,0.712942,0.738403,0.346011,QSO
0.840347,0.760947,0.684362,0.284002,QSO
0.63086,0.676938,0.644668,0.304258,QSO
0.871908,0.770029,0.815399,0.369574,QSO
0.93337,0.734674,0.736011,0.469202,QSO
0.767996,0.606228,0.661884,0.310872,QSO
0.885567,0.69348,0.724055,0.43241,QSO
0.898856,0.722673,0.815878,0.454733,QSO
0.820229,0.734025,0.668101,0.390657,QSO
0.807124,0.743756,0.638929,0.389417,QSO
0.803248,0.749595,0.71736,0.355932,QSO
0.848283,0.755109,0.821138,0.402646,QSO
0.862311,0.753811,0.658537,0.336916,QSO
0.865449,0.641259,0.761836,0.455147,QSO
0.844038,0.774895,0.736011,0.244316,QSO
0.865264,0.710347,0.639407,0.381563,QSO
0.851052,0.719105,0.740316,0.40678,QSO
0.848468,0.751865,0.656145,0.395205,QSO
0.877076,0.707428,0.638929,0.34229,QSO
0.860281,0.755109,0.7011,0.271186,QSO
0.805832,0.748946,0.823529,0.329475,QSO
0.849391,0.832631,0.705882,0.463415,QSO
0.792543,0.695102,0.746533,0.331542,QSO
0.936323,0.788842,0.610234,0.332369,QSO
0.675895,0.578982,0.596365,0.286069,QSO
0.892396,0.746351,0.767575,0.399752,QSO
0.239941,0.19494,0.531325,0.329062,QSO
0.879845,0.76711,0.645146,0.36668,QSO
0.851237,0.765813,0.759445,0.329062,QSO
0.410668,0,0.213773,0.25093,QSO
0.880952,0.738242,0.72023,0.31914,QSO
0.72333,0.726565,0.603539,0.281521,QSO
0.840162,0.737593,0.670014,0.31914,QSO
0.818014,0.725916,0.663797,0.425796,QSO
0.842008,0.699319,0.750837,0.308805,QSO
0.792359,0.803438,0.683405,0.352212,QSO
0.870801,0.773597,0.644189,0.369161,QSO
0.799003,0.702238,0.579149,0.357999,QSO
0.890919,0.740512,0.646581,0.343944,QSO
0.88003,0.758028,0.688187,0.080612,QSO
0.648579,0.481674,0.649928,0.145101,QSO
0.840901,0.787545,0.735055,0.328235,QSO
0.849391,0.726565,0.661884,0.379082,QSO
0.872093,0.712293,0.671449,0.362547,QSO
0.901809,0.672721,0.776662,0.443158,QSO
